date,fed_funds,mortgage_30y,prime_rate
2004-01-31,1.0,5.68,4.0
2004-02-29,1.01,5.58,4.0
2004-03-31,1.0,5.4,4.0
2004-04-30,1.0,6.01,4.0
2004-05-31,1.0,6.32,4.0
2004-06-30,1.03,6.25,4.01
2004-07-31,1.26,6.08,4.25
2004-08-31,1.43,5.82,4.43
2004-09-30,1.61,5.72,4.58
2004-10-31,1.76,5.64,4.75
2004-11-30,1.93,5.72,4.93
2004-12-31,2.16,5.81,5.15
2005-01-31,2.28,5.66,5.25
2005-02-28,2.5,5.69,5.49
2005-03-31,2.63,6.04,5.58
2005-04-30,2.79,5.78,5.75
2005-05-31,3.0,5.65,5.98
2005-06-30,3.04,5.53,6.01
2005-07-31,3.26,5.77,6.25
2005-08-31,3.5,5.77,6.44
2005-09-30,3.62,5.91,6.59
2005-10-31,3.78,6.15,6.75
2005-11-30,4.0,6.28,7.0
2005-12-31,4.16,6.22,7.15
2006-01-31,4.29,6.12,7.26
2006-02-28,4.49,6.26,7.5
2006-03-31,4.59,6.35,7.53
2006-04-30,4.79,6.58,7.75
2006-05-31,4.94,6.62,7.93
2006-06-30,4.99,6.78,8.02
2006-07-31,5.24,6.72,8.25
2006-08-31,5.25,6.44,8.25
2006-09-30,5.25,6.31,8.25
2006-10-31,5.25,6.4,8.25
2006-11-30,5.25,6.14,8.25
2006-12-31,5.24,6.18,8.25
2007-01-31,5.25,6.25,8.25
2007-02-28,5.26,6.22,8.25
2007-03-31,5.26,6.16,8.25
2007-04-30,5.25,6.16,8.25
2007-05-31,5.25,6.42,8.25
2007-06-30,5.25,6.67,8.25
2007-07-31,5.26,6.69,8.25
2007-08-31,5.02,6.45,8.25
2007-09-30,4.94,6.42,8.03
2007-10-31,4.76,6.33,7.74
2007-11-30,4.49,6.1,7.5
2007-12-31,4.24,6.17,7.33
2008-01-31,3.94,5.68,6.98
2008-02-29,2.98,6.24,6.0
2008-03-31,2.61,5.85,5.66
2008-04-30,2.28,6.03,5.24
2008-05-31,1.98,6.08,5.0
2008-06-30,2.0,6.45,5.0
2008-07-31,2.01,6.52,5.0
2008-08-31,2.0,6.4,5.0
2008-09-30,1.81,6.09,5.0
2008-10-31,0.97,6.46,4.56
2008-11-30,0.39,5.97,4.0
2008-12-31,0.16,5.1,3.61
2009-01-31,0.15,5.1,3.25
2009-02-28,0.22,5.07,3.25
2009-03-31,0.18,4.85,3.25
2009-04-30,0.15,4.78,3.25
2009-05-31,0.18,4.91,3.25
2009-06-30,0.21,5.42,3.25
2009-07-31,0.16,5.25,3.25
2009-08-31,0.16,5.14,3.25
2009-09-30,0.15,5.04,3.25
2009-10-31,0.12,5.03,3.25
2009-11-30,0.12,4.78,3.25
2009-12-31,0.12,5.14,3.25
2010-01-31,0.11,4.98,3.25
2010-02-28,0.13,5.05,3.25
2010-03-31,0.16,4.99,3.25
2010-04-30,0.2,5.06,3.25
2010-05-31,0.2,4.78,3.25
2010-06-30,0.18,4.69,3.25
2010-07-31,0.18,4.54,3.25
2010-08-31,0.19,4.36,3.25
2010-09-30,0.19,4.32,3.25
